champion_id,ban_id
8,92
119,51
18,117
57,238
19,90
40,117
74,157
150,117
111,154
427,31
99,114
22,45
79,157
143,31
40,238
23,31
67,516
114,141
222,90
421,8
134,141
238,245
96,29
122,96
498,157
41,48
67,141
19,6
78,53
412,154
8,40
497,61
24,31
67,51
412,67
157,117
25,19
35,92
240,114
24,157
43,122
92,516
85,55
222,119
35,157
150,119
24,141
41,141
126,516
22,18
63,74
18,96
69,59
23,59
497,1
238,31
24,141
10,154
11,53
150,18
24,38
119,16
74,114
238,31
111,105
24,22
21,40
420,157
61,64
67,154
75,157
8,157
79,57
238,105
141,122
497,150
8,119
245,114
103,122
105,45
69,119
18,117
63,86
59,122
245,33
254,31
5,122
15,57
45,420
106,31
81,63
141,119
254,236
131,202
236,79
201,119
48,80
9,412
25,31
119,141
96,114
31,18
19,105
99,28
117,157
19,18
4,10
412,157
64,412
412,134
28,40
82,412
105,122
117,238
157,59
240,29
101,29
18,141
268,119
61,154
27,35
96,122
62,53
4,157
9,141
122,-1
59,89
63,245
141,266
53,238
143,53
245,51
498,154
432,420
67,54
115,35
86,154
105,119
516,69
40,412
54,64
163,134
3,154
110,8
22,122
497,122
157,117
13,238
119,141
64,31
157,141
37,157
29,53
48,103
122,114
40,238
54,157
92,16
29,67
141,114
497,412
8,18
99,5
43,18
38,157
103,157
79,7
150,6
92,40
24,157
92,516
64,29
64,28
53,122
119,18
254,420
266,14
110,18
33,105
421,38
90,157
412,238
79,91
35,157
57,119
40,498
18,53
121,7
1,105
141,117
222,498
19,141
412,53
497,119
45,420
115,41
62,29
105,516
33,31
37,53
9,31
11,89
80,114
111,134
120,236
516,57
103,11
1,113
412,58
79,53
101,55
63,268
412,114
18,119
238,119
24,154
432,25
111,114
33,40
11,122
412,55
236,90
150,21
4,53
113,67
99,20
222,19
43,53
16,29
141,53
113,41
267,117
150,86
12,19
161,122
150,157
5,201
79,7
412,157
103,157
17,105
240,154
412,19
69,90
64,6
67,498
119,122
40,154
236,427
111,45
268,119
99,11
34,238
107,51
15,53
64,57
117,75
99,92
22,64
51,114
22,64
201,16
117,114
76,141
119,85
21,238
19,53
16,103
516,117
119,31
161,29
161,29
16,141
61,122
12,157
79,53
4,75
41,157
117,81
57,154
42,240
4,412
432,31
103,238
38,141
157,122
25,10
117,412
35,122
58,119
254,63
59,154
141,40
103,154
85,38
126,60
75,17
5,75
29,141
141,40
117,119
96,8
23,157
79,67
5,11
19,240
117,429
75,53
42,80
119,8
113,119
53,45
150,18
113,105
105,141
18,157
19,105
240,238
202,122
48,18
161,80
67,202
412,75
99,11
134,75
254,122
254,29
15,6
115,79
27,75
111,67
24,75
516,119
126,157
29,67
18,90
57,126
498,75
31,154
7,75
40,157
141,18
60,29
64,84
202,27
67,20
91,157
143,238
53,157
57,240
121,102
143,11
89,157
238,157
119,141
53,157
67,75
29,107
103,38
9,154
80,117
150,91
202,119
412,19
202,157
22,18
126,141
113,31
150,55
31,67
222,157
245,141
202,18
86,141
25,31
33,157
516,53
29,23
64,122
44,114
131,31
202,35
4,60
5,6
2,35
24,67
236,1
43,122
53,254
6,31
89,7
29,82
37,117
31,53
412,157
16,51
157,134
81,412
83,32
236,24
29,67
103,157
96,238
203,24
157,75
81,121
103,122
19,63
102,45
4,157
131,119
67,31
57,75
117,57
516,1
61,40
432,67
131,19
127,31
22,157
96,19
201,141
39,420
134,31
12,141
29,92
16,29
35,11
67,412
141,254
157,119
75,3
41,61
10,24
81,40
29,245
164,103
7,164
58,29
15,238
18,154
15,31
236,29
99,119
41,31
4,31
54,63
157,33
86,25
64,99
157,122
21,40
8,18
18,63
67,18
21,29
111,122
38,157
98,38
19,236
86,51
40,122
11,105
55,119
5,11
75,11
29,25
92,122
75,92
23,54
11,114
25,29
67,122
222,92
4,238
57,-1
412,157
90,103
3,75
23,122
9,105
61,67
6,31
81,75
85,51
412,105
84,103
30,157
92,51
28,29
238,103
236,114
134,117
103,238
89,75
18,64
67,154
21,23
12,114
86,17
106,103
23,238
222,157
236,122
21,67
107,122
61,40
86,154
150,114
254,202
222,238
29,154
78,31
104,141
105,38
57,53
33,53
19,34
92,75
79,7
67,141
24,40
412,114
103,238
44,412
110,157
64,19
150,119
59,122
13,114
1,90
150,31
122,63
7,24
59,157
117,154
412,105
17,75
69,202
157,238
80,29
64,40
201,57
18,75
13,90
40,154
79,238
133,3
141,113
516,75
79,157
53,105
254,92
38,40
59,119
99,5
18,117
26,236
60,59
3,25
67,17
122,6
119,238
63,11
57,17
141,8
51,141
81,31
117,11
134,31
77,122
113,114
51,40
115,31
16,29
67,119
53,90
236,25
134,29
44,432
86,75
236,40
157,29
40,29
141,40
222,53
497,6
18,497
202,238
61,40
105,11
59,238
105,40
150,157
64,157
99,5
42,19
40,57
61,55
28,53
121,53
119,114
57,40
3,53
223,36
22,412
236,35
121,122
7,90
61,141
5,64
18,31
91,164
121,114
67,18
163,61
61,164
53,67
29,75
1,119
4,157
23,67
141,238
60,117
60,45
103,117
29,11
9,105
7,141
17,81
91,141
32,18
117,7
21,103
45,103
267,157
40,154
497,122
99,122
81,498
122,24
85,17
412,114
57,16
412,79
429,-1
112,40
92,154
38,238
498,29
37,157
420,84
29,121
103,119
64,154
31,117
98,80
4,157
18,157
103,119
112,119
163,131
412,154
150,99
11,32
16,40
202,154
99,238
117,238
36,114
42,412
126,122
21,39
98,29
12,25
90,61
133,75
67,117
143,40
141,11
18,516
14,17
63,157
117,119
25,67
57,38
497,429
63,23
60,516
40,90
154,238
61,90
40,157
61,92
79,141
51,63
75,18
126,51
63,114
61,29
34,105
89,105
4,141
141,16
69,119
101,53
74,18
245,33
40,67
96,38
51,516
11,55
7,157
121,69
122,92
98,29
141,154
498,117
58,157
77,67
83,53
35,141
82,119
62,114
9,101
33,40
45,84
81,143
59,31
29,67
98,103
16,80
22,29
69,28
42,114
15,157
77,154
63,53
163,117
154,240
31,427
114,141
61,117
79,67
134,11
2,121
141,119
85,29
245,119
516,18
45,114
114,113
54,119
40,11
245,11
64,31
89,29
103,498
113,53
12,141
41,202
1,24
412,157
59,3
131,28
74,240
90,-1
58,29
117,29
53,105
64,79
432,40
117,29
5,60
18,498
10,11
222,38
89,86
429,31
84,6
40,238
236,18
18,412
29,141
98,51
54,157
8,122
157,245
86,29
90,92
32,31
14,90
497,69
497,90
53,119
141,24
45,119
18,75
64,157
119,55
18,57
16,92
75,498
21,38
29,141
161,29
120,31
25,516
119,113
432,40
18,412
55,16
85,238
150,18
245,29
19,113
29,90
163,10
157,432
11,25
141,75
5,154
79,238
28,105
84,141
412,23
21,157
238,119
163,110
2,75
29,141
110,89
31,27
51,420
164,126
25,238
115,29
24,7
64,133
68,134
35,114
36,122
62,157
5,113
91,516
238,117
64,131
67,51
62,238
25,157
57,16
240,17
122,60
112,154
104,84
114,72
55,31
432,117
20,40
122,53
113,157
412,154
267,31
85,80
81,17
25,51
24,31
63,16
